dummy,companyName,companyNameHebrew,sector,employees,area,locationName,locationArea,lat,lon,,,,
1,Comverse,קומברס,תוכנה,1000,תל אביב,קרית עתידים,רמת החייל,32.109759,34.840837,,,,
1,Ness,נס,IT,1000,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Rad,רד,תקשורת,900,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Alvarion,אלווריון,תקשורת,500,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Bynet,בינת,תקשורת,500,תל אביב,קרית עתידים,רמת החייל,32.1092255,34.838992,,,,
1,BMC,בי.אם.סי,תוכנה,380,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Radvision,רדוויז'ן,תקשורת,350,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Marvell,מרוול - רדלן,תקשורת,300,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Radware,רדוור,תקשורת,280,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Visonic,ויסוניק,מערכות אבטחה,300,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Ceragon,סרגון,תקשורת,280,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,CET,"מט""ח",לומדות,250,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Harel,הראל,IT,200,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,ARRIS - BigBand,אריס - ביגבנד,תקשורת,100,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Avaya,אוואיה,תקשורת,30,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Matomy,מטומי,אינטרנט,120,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,3M - Attenti - Dmatek,אטנטי - דמאטק,מערכות אבטחה,300,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Wisair,וויזאייר,תקשורת,60,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Radcom,רדקום,תקשורת,90,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Radwin,רדווין,תקשורת,90,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Topimage,טופאימאג',תוכנה,90,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Rit,ריט,תקשורת,80,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Panorama,פנורמה,תוכנה,80,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,EMC,אי.אם.סי,תוכנה,60,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Sanrad,סאנרד,אחסון מידע,40,תל אביב,קרית עתידים,רמת החייל,,,,,,
1,Coppergate,קופרגייט,סמיקונדקטור,40,תל אביב,קרית עתידים,רמת החייל,,,,,,
